,course_id,translated_title,category,instructional_level,translated_headline,translated_objectives_summary
107030,1626112,Redis Tutorial for Beginners,development,Beginner Level,Learn Redis in simple and easy steps using this beginner's tutorial containing basic to advanced knowledge,"['Install Redis', 'Run Redis  Locally', 'Understand terminal commands for managing the database']"
107031,2371930,"Java, PHP and MySQL Bundle",development,All Levels,"Learn and master backend languages such Java, Php and Mysql","['On completion of this course you would be in a position to write and deploy java programs.', 'And combine multiple programs to create some software application.', 'On completion of this course you would have a better grip over BACK-END web development with php7, SQL, MySQL database.']"
107039,1344160,Learning Path: Java: Big Data Analysis with Java,development,Beginner Level,Handle big data and perform visualization techniques to gain deeper insights of your data,"['Familiarize with various data pre-processing techniques', 'Get to know the basics of data analysis and explore how data changes state', 'Implement statistical data analysis techniques using Java APIs']"
107045,1032204,Kick off your SQL skills with Oracle Database SQL Workshop,development,Beginner Level,Build your SQL Skills with this Oracle Database SQL Workshop,"['Retrieve data from Oracle Database', 'Restrict Data from Oracle Database', 'Sort Data from Oracle Database']"
107047,1262650,Web Scraping with JavaScript & Node.js,development,All Levels,Build your own web scraper. Fetch and process data from whatever website you want!,"['Using Nodejs', 'Creating and running scripts from packagejson file', 'Using Nodemon for auto refreshing changes in Nodejs code']"
107056,1604418,AJAX API exercises JavaScript Trivia web application,development,Beginner Level,Create a Trivia Application using JavaScript and AJAX retrieving data from various web API endpoints,"['Build a Quiz Application', 'Connect to Trivia database and return JSON data for web pages', 'Make AJAX requests and retrieve response data']"
107057,1762294,Data Science and Machine Learning with R and Python,development,All Levels,"Data science,Machine Learning,Data visualization with R and Python using real world examples.","['Solve any data analytics problem using R and Python', 'Perform Data exploratory functions,importing and exporting the data sets,Data manipulation', 'Perform Logistic Regression using Cancer remission data set.']"
107060,1648566,SQL database foundation: what your employer expects from you,development,Beginner Level,"SQL basic, practical skills for a beginner into the world of databases. No software to install, web browser is enough.","['Solve hands-on assignments and real-world use cases.', 'Answer business performance and sales questions using data.', 'Explore and describe how the data is stored in an existing database.']"
107061,1755506,Introduction to Statistics with R,development,Beginner Level,Where Statistics and Programming Meet,['Analyze statistical data using R Studio']
107070,1248492,Getting Started with Informatica,development,Beginner Level,Get up and running with Informatica - one of the most sought-after data warehousing tools in the market,"['Get familiar with the admin console', 'Learn to use the Designer screen', 'Add transformations using input and output ports']"
107073,3711884,Web Scrapping and Data Visualisation with Python,development,All Levels,"Build a project to scrape real-time stock market information and visualise them using Beautiful Soup, Pandas and Plotly","['Creating a automatic web scraper to extract financial data using Beautiful Soup', 'Creating interactive graphs and other visualizations using Pandas, Matplotlib and Plotly', 'Use your Python and HTML knowledge to build a practical project about Finance']"
107076,3045974,Machine Learning for Finance,development,Intermediate Level,Machine Learning techniques for solving major financial issues,"['How to tackle problems in Fintech and financial investments', 'Learn feature engineering, EDA and understanding with regards to financial data', 'Build an ANN-based model for predicting the stock prices']"
107080,754662,Python Programming - Complete Beginner Course,development,Beginner Level,Hatch as Expert in Python by learning through clear explanations of python subjects and practical programming exercises,"['Solve Python Problems Programatically', 'Get a head start in the complex technologies of modern day programming', 'Obtain the opportunity to learn more complex things like Machine Learning at the end of the course']"
107084,2608148,Java Programming Language for Beginners using Eclipse IDE.,development,Beginner Level,Learn Core  Java in 15 Days,"['- Core Java Concepts using real world software examples.', '- Classes and objects, methods, data types, variables, flow control, operations, Exception handling, Collections framework.', ""- Java's method of implementing OOP principles-Inheritance, Polymorphism, Encapsulation , Abstraction .""]"
107096,766222,MongoDB: Initiating the Next Step,development,Intermediate Level,"A complete guide for Indexing, Aggregation and Replication in MongoDB","['Create and configure different types of indexes for different purposes.', 'Create indexes that support data stored as GeoJSON objects and legacy coordinate pairs.', 'Build and configure indexes that support full-text searches.']"
107097,653932,Practical SQL Skills For Jobs | Businesses | Enterpreneurs,development,Intermediate Level,Learn SQL one of the most in demand  IT skills requested by employers|SQL is useful to Businesses and Enterpreneurs,"['Learn how to create Database Tables', 'Learn how to create constraints on database Tables', 'Learn how to create Database Views']"
107104,2399230,Computer Programming in Python and JavaScript (Intermediate),development,Beginner Level,Master Python and JavaScript programming! Build exciting projects hands-on with industry tools PyCharm and VS Code!,"['Build HANDS-ON skills in Python and JavaScript', 'Learn about DATA STRUCTURES and COLLECTIONS in Python and JavaScript', 'Understand lists, arrays, tuples, dictionaries, sets, and data structures and HOW THEY ARE USED in computer programming']"
